,Degree,Closeness Centrality,Betweenness Centrality,Eccentricity,Page Rank,Eigen Value Centrality,Death
Grunt,24,0.004524887,556.1852523,7,0.000501595,0.000411503,0
Guncer-Sunglass,6,0.003731343,131.1036732,6,0.000716319,0.000577916,0
Gunthor-son-of-Gurn,18,0.004149378,141.5407634,7,0.00043193,0.007339162,0
Guyard-Morrigen,4,0.00295858,2.261904762,7,0.000413608,0.002217091,0
Gyles-Grafton,26,0.004524887,1279.753353,8,0.001229904,0.000120833,0
Gyles-Rosby,2,0.003257329,3.20799062,7,0.000280012,0.039181031,0
Gynir,6,0.002717391,12.96584412,8,0.000589354,1.03E-05,0
Hagen,6,0.003584229,106.9588272,7,0.0008306,5.81E-05,0
Haggo,9,0.003676471,21.0398865,7,0.001296439,0.00124744,0
Haggon,5,0.003164557,3.673192663,7,0.001146709,3.34E-05,0
Hairy-Hal,2,0.002808989,0,6,0.000916235,0.001873967,0
Hake,10,0.003703704,84.67234484,6,0.000432125,0.001862754,0
Halder,12,0.003378378,40.49072503,6,0.001859237,0.014072053,0
Haldon,5,0.003194888,11.08691003,7,0.003806192,0.058838064,0
Hallis-Mollen,4,0.003460208,47.90724047,6,0.001044808,0.015895075,0
Hallyne,7,0.003412969,1.441374269,7,0.000703672,0.008077484,0
Halys-Hornwood,2,0.002538071,0,7,0.000214777,0.000249103,0
Hareth-(Moles-Town),4,0.003508772,3.470318304,6,0.000520339,0.008767746,0
Harl,7,0.003333333,108.9634921,8,0.000221467,2.97E-06,0
Harma,5,0.003558719,4.651775284,6,0.001308197,0.004497115,0
Harras-Harlaw,4,0.003095975,0,8,0.001054806,6.34E-06,0
Harren-Hoare,8,0.003921569,23.52841297,7,0.000235274,0.003002812,0
Harrold-Hardyng,6,0.003355705,40.69501861,8,0.01857171,0.000209236,0
Harry-Strickland,2,0.003115265,0,7,0.001187249,0.001264552,0
Harwin,6,0.003571429,4.244047619,7,0.005611278,0.012665172,0
Harwood-Stout,25,0.004608295,706.5572832,7,0.000231146,0.000665528,0
Harys-Swyft,18,0.004716981,1165.602517,6,0.000578963,0.010859402,0
Helman-Tallhart,3,0.003246753,0,6,0.001523918,0.000445445,0
Hero,4,0.003378378,1.46337185,7,0.000255395,0.000552268,0
Heward,15,0.003623188,179.5971781,7,0.00025028,0.000352321,0
High-Septon-(fat_one),13,0.003937008,78.81308256,7,0.000538829,0.011079424,0
High-Septon-(Tyrions),26,0.004807692,705.1985624,7,0.00031666,0.021816149,0
High-Sparrow,5,0.003508772,6.96957758,7,0.000618048,0.040337362,1
Hizdahr-zo-Loraq,1,0.002358491,0,7,0.000466959,0.014682593,1
Hobb,14,0.004524887,571.5247305,6,0.002935212,0.00609227,0
Hobber-Redwyne,5,0.00330033,3.886829837,8,0.001197025,2.08E-05,0
Hodor,36,0.004830918,1101.384972,6,0.000373823,0.086144135,1
Holly,22,0.004424779,364.7212196,7,0.000785863,0.001482012,0
Hop-Robin,4,0.003521127,32.8242342,6,0.006068826,0.001940769,0
Horas-Redwyne,7,0.003355705,5.060887723,7,0.000235553,0.002835378,0
Horton-Redfort,3,0.003508772,87.06103763,8,0.000243754,6.63E-05,0
Hosteen-Frey,8,0.003484321,18.21525448,7,0.000397176,0.00012559,1
Hoster-Blackwood,1,0.003067485,0,7,0.000602638,0.002367691,0
Hoster-Tully,4,0.003095975,0,6,0.002068712,0.022382973,1
Hot-Pie,4,0.003115265,0.333333333,7,0.000324751,0.034099161,0
Hother-Umber,2,0.00310559,0,7,0.001035565,0.000356426,0
Hotho-Harlaw,5,0.003412969,10.71920465,8,0.00064121,1.66E-05,0
Hugh,6,0.003584229,223.2348268,7,0.000430526,0.000351352,0
Hugo-Vance,1,0.00210084,0,7,0.000312001,0.001775769,0
Hullen,2,0.002808989,0,6,0.000599178,0.003437418,0
Humfrey-Hewett,4,0.003521127,2.6254329,8,0.00159731,1.41E-05,1
Husband,2,0.003164557,0,8,0.002083663,9.33E-05,0
Hyle-Hunt,7,0.003731343,6.400940824,6,0.00031696,0.00845795,0
Illyrio-Mopatis,4,0.002949853,0.375746606,6,0.00025857,0.04107074,0
Ilyn-Payne,5,0.003484321,16.67748923,6,0.00078409,0.124079092,0
Irri,6,0.003322259,0,7,0.000331787,0.007992794,1
Jacelyn-Bywater,4,0.003311258,0,6,0.000220783,0.032981667,1
